ID,degree_avg,degree_interHemisphere_avg,degree_intraHemisphere_avg,degree_withinModule_avg,degree_betweenModule_avg
0196_1,85.320000,37.460000,47.860000,13.500000,71.820000
0196_2,82.120000,34.560000,47.560000,13.180000,68.940000
0197_1,77.300000,32.200000,45.100000,12.220000,65.080000
0197_2,47.140000,7.920000,39.220000,7.900000,39.240000
0198_1,93.160000,45.040000,48.120000,14.520000,78.640000
0199_1,78.880000,32.300000,46.580000,12.840000,66.040000
0200_1,92.160000,43.580000,48.580000,14.580000,77.580000
0200_2,86.220000,38.780000,47.440000,13.860000,72.360000
0201_1,85.800000,37.200000,48.600000,13.800000,72.000000
0202_1,87.880000,39.520000,48.360000,13.800000,74.080000
0203_1,94.420000,45.820000,48.600000,14.660000,79.760000
0204_1,88.140000,40.860000,47.280000,14.140000,74.000000
0205_1,90.120000,41.280000,48.840000,14.440000,75.680000
0205_2,85.280000,37.540000,47.740000,13.580000,71.700000
0206_1,91.380000,43.280000,48.100000,14.180000,77.200000
0207_1,87.640000,39.200000,48.440000,13.880000,73.760000
0207_2,87.140000,38.660000,48.480000,14.040000,73.100000
0208_1,86.820000,38.500000,48.320000,13.700000,73.120000
0209_1,90.500000,41.620000,48.880000,14.320000,76.180000
0210_1,86.140000,38.380000,47.760000,13.660000,72.480000
0211_1,87.420000,39.440000,47.980000,14.080000,73.340000
0212_1,88.260000,40.300000,47.960000,14.120000,74.140000
0212_2,90.460000,41.960000,48.500000,14.480000,75.980000
0213_1,80.260000,31.680000,48.580000,12.760000,67.500000
0214_1,83.160000,34.620000,48.540000,13.340000,69.820000
0215_1,86.720000,39.480000,47.240000,13.920000,72.800000
0216_1,91.000000,42.700000,48.300000,14.260000,76.740000
0216_2,73.800000,29.340000,44.460000,11.740000,62.060000
0217_1,78.020000,30.500000,47.520000,12.740000,65.280000
0218_1,90.400000,41.780000,48.620000,14.300000,76.100000
0219_1,84.160000,36.800000,47.360000,13.460000,70.700000
0220_1,91.440000,42.700000,48.740000,14.440000,77.000000
0221_1,78.460000,31.420000,47.040000,12.860000,65.600000
0222_1,84.820000,36.860000,47.960000,13.520000,71.300000
0223_1,92.640000,44.420000,48.220000,14.680000,77.960000
0224_1,87.280000,40.760000,46.520000,13.920000,73.360000
0225_1,90.600000,41.860000,48.740000,14.260000,76.340000
0225_2,89.240000,40.500000,48.740000,14.000000,75.240000
0226_1,91.400000,43.100000,48.300000,14.380000,77.020000
0226_2,91.920000,43.500000,48.420000,14.400000,77.520000
0227_1,93.160000,44.600000,48.560000,14.680000,78.480000
0228_1,89.400000,40.880000,48.520000,14.060000,75.340000
0229_1,74.300000,29.100000,45.200000,11.940000,62.360000
0230_1,92.840000,44.260000,48.580000,14.580000,78.260000
0231_1,85.160000,37.860000,47.300000,13.640000,71.520000
0232_1,89.340000,41.080000,48.260000,14.320000,75.020000
0232_2,88.800000,40.780000,48.020000,14.120000,74.680000
0233_1,80.460000,33.620000,46.840000,13.120000,67.340000
0233_2,83.840000,35.960000,47.880000,13.440000,70.400000
0234_1,85.820000,37.900000,47.920000,13.700000,72.120000
0234_2,84.720000,37.560000,47.160000,13.480000,71.240000
0235_1,70.220000,25.020000,45.200000,11.340000,58.880000
0235_2,59.780000,19.360000,40.420000,9.460000,50.320000
0236_1,89.640000,41.420000,48.220000,14.180000,75.460000
0236_2,90.260000,42.140000,48.120000,14.140000,76.120000
0237_1,88.020000,39.360000,48.660000,14.180000,73.840000
0238_1,86.380000,38.540000,47.840000,13.600000,72.780000
0239_1,89.460000,40.820000,48.640000,14.160000,75.300000
0240_1,57.740000,16.180000,41.560000,9.280000,48.460000
0241_1,94.540000,45.840000,48.700000,14.820000,79.720000
0242_1,84.640000,36.660000,47.980000,13.660000,70.980000
0242_2,83.540000,35.440000,48.100000,13.500000,70.040000
0243_1,88.400000,41.140000,47.260000,13.960000,74.440000
0244_1,87.960000,40.300000,47.660000,13.840000,74.120000
0245_1,88.480000,40.600000,47.880000,13.980000,74.500000
0246_1,85.140000,36.600000,48.540000,13.540000,71.600000
0246_2,69.720000,23.500000,46.220000,11.180000,58.540000
0247_1,78.540000,31.460000,47.080000,12.340000,66.200000
0247_2,71.720000,25.280000,46.440000,11.740000,59.980000
0248_1,86.600000,39.060000,47.540000,13.940000,72.660000
0249_1,77.120000,28.900000,48.220000,12.480000,64.640000
0249_2,75.700000,27.680000,48.020000,12.300000,63.400000
0250_1,80.140000,31.780000,48.360000,12.660000,67.480000
0251_1,86.660000,38.700000,47.960000,13.900000,72.760000
0252_1,87.560000,39.800000,47.760000,13.840000,73.720000
